City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
502,Pingliang,CN,35.54,106.69,29.1,92,100,3.11,overcast clouds
503,Fort Collins,US,40.59,-105.08,30.0,73,0,1.01,clear sky
504,Muromtsevo,RU,56.37,75.24,5.07,94,20,4.79,few clouds
505,Damghan,IR,36.17,54.35,37.49,75,100,0.76,overcast clouds
506,Terrace,CA,54.52,-128.6,32.0,91,90,2.24,light snow
507,Mubende,UG,0.56,31.39,60.15,99,3,1.86,clear sky
508,Filadelfia,US,39.95,-75.16,53.01,71,75,5.82,broken clouds
509,Atar,MR,20.52,-13.05,64.49,48,85,7.45,overcast clouds
510,Aranda De Duero,ES,41.67,-3.69,43.7,85,38,7.09,scattered clouds
511,Diamantino,BR,-14.41,-56.45,76.5,68,97,5.79,overcast clouds
512,Sangar,RU,63.92,127.47,-10.12,90,100,3.85,overcast clouds
513,Esperance,AU,-33.87,121.9,62.6,63,75,8.05,broken clouds
514,Macau,MO,22.2,113.55,68.0,68,20,20.8,few clouds
515,Esna,EG,25.29,32.55,55.4,71,0,4.7,clear sky
516,Gryazovets,RU,58.88,40.25,23.52,97,96,9.98,light snow
517,Kushmurun,KZ,52.45,64.63,17.64,97,100,7.76,overcast clouds
518,Bereda,ES,43.27,-7.54,39.99,100,0,1.01,clear sky
519,Yabelo,ET,4.88,38.08,58.12,98,0,8.99,clear sky
520,Kamen-Rybolov,RU,44.75,132.04,16.56,87,0,6.15,clear sky
521,Coihueco,CL,-36.62,-71.83,57.2,71,0,4.7,clear sky
522,Turka,UA,49.15,23.03,33.01,87,100,2.89,light snow
523,Vestmanna,FO,62.16,-7.17,42.8,81,74,11.41,broken clouds
524,Samarai,PG,-10.62,150.67,82.08,73,82,6.08,broken clouds
525,Barahona,DO,18.21,-71.1,75.16,64,0,1.74,clear sky
526,Nyurba,RU,63.28,118.33,-1.12,92,98,5.55,overcast clouds
527,Namibe,AO,-15.2,12.15,72.0,72,97,6.82,overcast clouds
528,Rio Grande,BR,-32.03,-52.1,72.0,86,100,1.99,overcast clouds
529,Jumla,NP,29.27,82.18,42.85,36,0,5.5,clear sky
530,Abu Samrah,SY,35.3,37.18,52.45,69,88,6.96,overcast clouds
531,Joshimath,IN,30.57,79.57,44.01,42,0,9.33,clear sky
532,Kerrville,US,30.05,-99.14,59.0,72,90,13.87,overcast clouds
533,Phalaborwa,ZA,-23.94,31.14,66.2,93,100,9.17,overcast clouds
534,Boende,CD,-0.22,20.87,70.93,97,100,2.66,overcast clouds
535,Derzhavinsk,KZ,51.1,66.32,20.61,97,100,8.5,light snow
536,Joetsu,JP,37.15,138.24,46.99,75,100,1.01,light rain
537,Khetri,IN,27.98,75.8,52.61,49,0,5.01,clear sky
538,Bani Walid,LY,31.76,13.99,57.04,57,0,12.86,clear sky
539,Yarensk,RU,62.17,49.09,11.52,96,51,4.68,broken clouds
540,Beira,MZ,-19.84,34.84,82.4,78,40,13.87,scattered clouds
